loan_amount,person_income,credit_score,debt_to_income_ratio,employment_length,previous_defaults,default
1735,10775,531,0.4703,8,0,0
10509,22090,658,0.1621,6,0,0
384,10000,626,0.1433,3,0,0
18170,10000,620,0.2177,3,0,0
41147,105247,768,0.4976,4,0,0
3997,57703,642,0.4423,7,0,0
7045,14728,636,0.6313,2,0,1
1128,17958,610,0.1616,1,0,0
2894,29955,562,0.2555,2,0,0
6223,49451,615,0.3069,3,0,0
5695,38466,700,0.3542,6,0,0
2136,10000,623,0.2087,5,0,0
3370,17831,577,0.5038,6,0,0
4011,16989,661,0.1924,3,0,0
6351,55301,621,0.2918,2,0,0
469256,33885,617,0.0826,4,0,1
1568,10000,586,0.3169,2,0,0
9062,10000,578,0.1602,7,0,1
21432,77070,643,0.2843,0,0,0
4050,10000,572,0.1341,5,0,0
3606,10000,590,0.1251,4,0,0
5594,22044,620,0.3017,3,0,0
94040,404898,652,0.3274,3,0,0
2030,10000,662,0.1394,8,0,0
21941,10000,606,0.3198,3,0,0
15735,15219,600,0.4396,7,0,0
2940,18356,616,0.377,8,0,0
62522,23154,621,0.2326,2,0,0
26411,13372,647,0.2378,0,0,1
6254,54775,649,0.0725,4,0,0
4986,10000,709,0.2726,2,0,0
6517,10000,622,0.5745,14,0,0
3113,10000,668,0.0821,4,0,0
3870,10000,611,0.0761,1,0,0
5043,10000,668,0.3561,4,0,0
8712,24056,658,0.3298,4,0,0
4174,10000,605,0.5505,2,0,0
13805,15150,654,0.2115,11,0,0
6550,10000,578,0.2223,4,0,0
38457,18949,672,0.5733,2,0,0
4334,10000,592,0.259,2,0,0
4024,10834,587,0.2574,3,0,0
2274,10000,536,0.2468,9,0,0
11776,10000,573,0.5606,5,0,1
4009,10000,671,0.5661,2,0,0
3120,18045,660,0.4562,3,0,0
2929,19868,588,0.1403,2,0,0
1249,10000,618,0.375,3,0,0
14634,18917,595,0.2246,7,0,0
27043,55117,641,0.1558,5,0,0
7182,14376,605,0.2615,2,0,0
9599,17309,605,0.0076,3,0,0
2778,13194,584,0.4344,3,0,0
3039,38370,662,0.1449,7,0,0
9859,53828,770,0.0714,2,0,0
